iter	Passed	Remaining
1373	98142	44714
1374	98169	44622
1375	98194	44530
1376	98219	44437
1377	98241	44344
1378	98269	44253
1379	98294	44161
1380	98320	44069
1381	98345	43978
1382	98370	43886
1383	98394	43793
1384	98418	43701
1385	98445	43611
1386	98472	43520
1387	98496	43429
1388	98520	43337
1389	98545	43246
1390	98569	43155
1391	98595	43064
1392	98623	42975
1393	98647	42884
1394	98671	42792
1395	98697	42703
1396	98721	42611
1397	98742	42520
1398	98767	42429
1399	98790	42338
1400	98812	42247
1401	98837	42157
1402	98860	42066
1403	98889	41978
1404	98913	41888
1405	98940	41800
1406	98962	41709
1407	98985	41619
1408	99011	41530
1409	99039	41441
1410	99065	41353
1411	99093	41265
1412	99136	41183
1413	99181	41103
1414	99229	41024
1415	99272	40942
1416	99304	40857
1417	99339	40772
1418	99375	40688
1419	99416	40606
1420	99459	40525
1421	99497	40442
1422	99535	40359
1423	99571	40276
1424	99609	40193
1425	99641	40108
1426	99675	40023
1427	99706	39938
1428	99778	39869
1429	99871	39808
1430	99962	39747
1431	100015	39671
1432	100045	39585
1433	100074	39499
1434	100105	39414
1435	100133	39328
1436	100162	39242
1437	100191	39156
1438	100222	39072
1439	100255	38988
1440	100282	38902
1441	100314	38817
1442	100345	38733
1443	100373	38647
1444	100401	38562
1445	100426	38476
1446	100452	38390
1447	100479	38304
1448	100507	38219
1449	100544	38137
1450	100610	38066
1451	100651	37986
1452	100686	37904
1453	100714	37819
1454	100745	37736
1455	100780	37654
1456	100819	37573
1457	100859	37493
1458	100963	37437
1459	100998	37355
1460	101039	37275
1461	101124	37212
1462	101155	37129
1463	101186	37046
1464	101218	36963
1465	101248	36880
1466	101285	36799
1467	101317	36717
1468	101339	36631
1469	101367	36547
1470	101387	36461
1471	101406	36374
1472	101429	36288
1473	101450	36202
1474	101487	36122
1475	101512	36038
1476	101537	35953
1477	101558	35868
1478	101577	35782
1479	101596	35696
1480	101613	35609
1481	101629	35522
1482	101646	35435
1483	101662	35348
1484	101677	35261
1485	101694	35175
1486	101710	35089
1487	101727	35002
1488	101742	34916
1489	101759	34830
1490	101775	34744
1491	101792	34658
1492	101809	34573
1493	101826	34487
1494	101843	34402
1495	101862	34317
1496	101882	34233
1497	101902	34148
1498	101920	34064
1499	101938	33979
1500	101957	33895
1501	101973	33810
1502	101990	33725
1503	102007	33640
1504	102022	33555
1505	102040	33471
1506	102060	33388
1507	102077	33303
1508	102095	33219
1509	102111	33135
1510	102127	33051
1511	102146	32967
1512	102163	32883
1513	102179	32799
1514	102195	32715
1515	102214	32633
1516	102234	32550
1517	102252	32467
1518	102270	32384
1519	102289	32301
1520	102307	32219
1521	102325	32136
1522	102341	32053
1523	102358	31970
1524	102375	31887
1525	102391	31804
1526	102407	31721
1527	102423	31638
1528	102438	31555
1529	102455	31473
1530	102471	31390
1531	102487	31308
1532	102502	31225
1533	102518	31143
1534	102534	31060
1535	102549	30978
1536	102563	30895
1537	102577	30813
1538	102592	30731
1539	102607	30649
1540	102623	30567
1541	102639	30485
1542	102655	30404
1543	102670	30322
1544	102685	30240
1545	102699	30158
1546	102714	30077
1547	102731	29996
1548	102746	29915
1549	102761	29833
1550	102777	29753
1551	102792	29672
1552	102807	29591
1553	102822	29510
1554	102839	29429
1555	102853	29348
1556	102867	29268
1557	102892	29190
1558	102919	29113
1559	102947	29036
1560	102974	28959
1561	102997	28881
1562	103022	28804
1563	103051	28727
1564	103076	28650
1565	103101	28573
1566	103128	28497
1567	103156	28420
1568	103183	28344
1569	103211	28268
1570	103239	28192
1571	103268	28116
1572	103298	28040
1573	103333	27967
1574	103362	27891
1575	103389	27815
1576	103417	27739
1577	103446	27664
1578	103476	27589
1579	103505	27514
1580	103538	27440
1581	103573	27366
1582	103603	27291
1583	103629	27215
1584	103657	27140
1585	103687	27065
1586	103715	26990
1587	103742	26915
1588	103772	26841
1589	103800	26766
1590	103825	26690
1591	103851	26615
1592	103876	26539
1593	103904	26464
1594	103935	26391
1595	103959	26315
1596	103985	26240
1597	104012	26165
1598	104040	26091
1599	104077	26019
1600	104130	25951
1601	104180	25882
1602	104231	25814
1603	104284	25746
1604	104339	25678
1605	104396	25611
1606	104449	25543
1607	104521	25480
1608	104601	25418
1609	104665	25353
1610	104736	25290
1611	104797	25224
1612	104869	25160
1613	104931	25095
1614	104997	25030
1615	105082	24970
1616	105149	24905
1617	105231	24844
1618	105309	24782
1619	105390	24721
1620	105493	24665
1621	105602	24610
1622	105715	24556
1623	105818	24499
1624	105936	24446
1625	106077	24399
1626	106662	24453
1627	107735	24617
1628	108376	24682
1629	110006	24970
1630	110777	25062
